id,W,X,Y,Z
5085,0.8,175,61.4,130.4
5086,2.8,192.2,49.14,110.6
5087,20.6,197.7,48.88,123.2
5088,0.7,156.9,50.05,106.1
5089,50.7,176.1,39.91,115.9
5090,47.6,177.3,50.46,99.9
5091,12.5,153.5,50.73,114.7
5092,7.3,211.4,59.14,132.8
5093,8.1,150.2,45.33,93.9
5094,24.5,212.4,51.25,128.6
5095,5.7,166.6,46.5,109.2
5096,8.1,215.7,55.95,135.1
5097,30.3,191.5,46.18,112.6
5098,51.9,188.6,51.11,122.7
5099,14,191.5,54.79,133
5100,16.7,203.1,50.62,115.7
5101,5,192.2,50.4,112.6
5102,23.7,198.6,47.58,106.6
5103,18.2,183.9,55.58,122.4
5104,7.3,183.6,53.76,129
5105,13.2,172.1,45.82,102
5106,34.1,181.8,56.8,136.9
5107,87.7,203.7,46.24,120.1
5108,11.7,132.7,52,111.8
5109,18.4,196,52.69,122.2
5110,28,166.9,56.28,134.9
5111,8.5,178.2,49.99,125.7
5112,0.6,213.6,48.41,106.3
5113,13,138.2,57.62,102.8
5114,0.2,133.3,51.96,118
5115,24.1,196.2,45.67,106.7
5116,23.1,169.3,55.65,106.7
5117,9.1,179.1,41.79,111.8
5118,34.7,191.4,59.8,132.6
5119,13.3,191.5,57.34,128.4
5120,33.6,182.5,44.74,90.8
5121,15.4,175.1,41.01,89.6
5122,1.1,189.7,44.68,118.4
5123,6.7,152.7,55.42,101.4
5124,14.4,214.6,60.73,146.8
5125,13.6,198.5,50.95,108.3
5126,18.7,197.3,59.73,144.1
5127,6.3,149.8,59.79,112.8
5128,13.9,198.5,59.39,138.3
5129,0,189.1,54.85,132.3
5130,6,163.5,54.97,123.4
5131,13.4,169.9,55.89,106.7
5132,22.7,209.3,47.45,125.5
5133,53,172,40.58,99.8
5134,23.8,189.8,52.47,118.6
5135,1.1,139.8,53.1,115.2
5136,74.7,172.2,48.03,110.9
5137,10,170,52.69,118.5
5138,17.2,156.7,45.15,101
5139,21.1,174.8,42.42,116.9
5140,57,199.7,44.55,113.5
5141,65.9,213.2,48.24,126.1
5142,12.7,148.3,51.06,116
5143,29.4,148.2,43.95,111.8
5144,3.7,161.7,36.37,106.1
5145,48.5,186,47.39,118.9
5146,25.8,193,47.16,111.3
5147,6.8,173.2,46.18,121.1
5148,7.4,203.5,54.3,109.9
5149,1.2,166.4,46.36,113.1
5150,6.7,210.1,42.32,125.1
5151,14.2,165.5,46.16,87.4
5152,19.9,167.4,37.29,85.9
5153,44.7,203,50.43,114.3
5154,19.2,183.4,50.29,90.7
5155,44,204.4,47.77,115.7
5156,48.5,184.5,51.97,95.1
5157,22.5,134.7,63.98,123.8
5158,24.3,194,63.53,134.3
5159,1.1,190.5,43.41,108.7
5160,4.5,154.6,53.47,115.4
5161,30.1,182.4,58.73,124.4
5162,19.4,176.3,50.08,122.7
5163,73.5,177.7,50.11,119.8
5164,30.8,165.3,46.55,101.4
5165,42.1,185.7,55.61,127.1
5166,12.2,159.9,58.39,110.4
5167,12.7,186.3,48.4,125.2
5168,9.7,179.3,49.79,116
5169,139.2,168.4,56,110.8
5170,10.6,184.8,50.43,116.4
5171,69.7,192,42.41,122.8
5172,28.7,177,47.77,128.7
5173,1.8,182.9,51.25,112.5
5174,8.1,175.7,59.5,107.7
5175,4.3,141.6,43.88,121.8
5176,26.7,164,43.63,112.7
5177,3.3,195.5,50.31,110.6
5178,82.8,210.9,53.85,129.3
5179,25,142.1,54.71,104.9
5180,2.8,208,56.63,122.2
5181,18.4,178.3,39.71,106.1
5182,25.1,186.6,67.3,126.4
5183,1.1,197,55.99,110.7
5184,28,203.7,48.07,128
5185,17.5,190.9,51.17,115.2
5186,47.2,192.7,44.14,109.6
5187,18.7,162.9,50.44,118.5
5188,18.9,189.9,46.11,115.6
5189,25.3,176.8,59.72,124.7
5190,45.6,171.2,45.55,104.5
5191,12.2,182.8,35.3,99.3
5192,30,169.1,45.89,107.9
5193,13.9,196.1,54.27,121.1
5194,25.5,150.7,51.58,110.9
5195,16.9,193.5,48.82,122.9
5196,43.4,166.8,64.63,111.8
5197,74.1,205.6,49.32,124.6
5198,7.3,169.7,52.2,110.9
5199,14.7,197.2,46.34,107.3
5200,55.5,215.6,46.1,117.2
5201,6.3,203.5,50.5,138.1
5202,10.5,146,50.53,102.5
5203,9,158.4,49.09,114.3
5204,55.8,193.9,48.96,108.7
5205,29,217.8,41.7,117.2
5206,10.1,172.6,54.07,106.1
5207,16.1,162.9,42.36,87.2
5208,18.2,187.3,45.44,106
5209,12.9,200,53.3,139
5210,2.5,159.8,51.7,122.1
5211,1.3,176.5,39.69,109.8
5212,0.5,141.8,51.67,103.9
5213,6.4,174.1,45.68,115
5214,13.1,130.2,50.6,93.3
5215,0.2,187.4,50.69,130.2
5216,19.7,172.9,48.82,100.3
5217,7.1,170.8,50.6,108.2
5218,24.3,177,41.13,95
5219,3.2,202.1,43.72,107.4
5220,32.5,181.5,59.01,134.9
5221,4.6,186,42.73,112.7
5222,4.9,158.3,56.33,125.4
5223,70.7,160.3,49.83,108.4
5224,31.9,197.3,51.84,111.1
5225,16.2,174.6,45.91,113
5226,40.3,191.4,51.77,130.5
5227,13,166.9,56.53,128.8
5228,30,186.9,49.43,106.2
5229,36.3,185.8,45.93,127.9
5230,40.6,159.5,59.77,118.9
5231,31.6,203.5,36.99,100.2
5232,7.1,193.9,52.74,120.1
5233,13.5,182.7,49.19,125.7
5234,11.1,182.8,55.57,116.2
5235,11.5,189.2,57.72,120.6
5236,96,144.5,47.17,93.4
5237,3,190.1,59.56,139
5238,25.3,194.9,43.24,102.1
5239,47.9,204.5,53.83,134.1
5240,38.5,169.9,45.27,107.2
5241,19.7,156.1,58.58,121.6
5242,19,153.2,54.51,96
5243,10,192.8,54.96,117.5
5244,20.8,169,45.09,126
5245,37.4,185.7,45.85,120.4
5246,54,169.4,59.72,117.5
5247,47.9,194.4,47.41,114.2
5248,14.5,208.9,46.9,111.8
5249,4.8,152.5,46.78,98.1
5250,19.6,205.2,58.54,126.8
5251,9.4,209.8,58.05,131.5
5252,42.3,132.4,54.52,111
5253,2.4,165.8,61.36,96.1
5254,5.4,175.2,49.85,119
5255,11,173.9,48.65,96.4
5256,22.9,173.7,56.63,96.5
5257,5.3,166.9,57.41,125.5
5258,4.9,192.7,66.04,124.6
5259,17.8,198.4,45.74,108.5
5260,72.6,168.9,51.9,129.3
5261,39.9,189.6,46.48,117.3
5262,7.2,186.2,49.46,112.5
5263,7.4,180.8,44.17,103.3
5264,10.4,186,46.94,121.7
5265,25,166.9,43.18,91.3
5266,8.9,169.2,47.72,92.3
5267,1.3,190,48,128.3
5268,51.4,160.7,41.3,93
5269,18.8,213.9,50.67,127.8
5270,30.2,185.7,49.79,113.7
5271,23.7,165.4,51.75,104.8
5272,21.9,177.3,50.38,122.1
5273,29.5,212.3,43.77,127.7
5274,12.6,190.9,55.34,130
5275,26.3,178.8,50.27,105
5276,9.9,155.6,56.25,108.5
5277,2.9,168,52.72,119.7
5278,17.3,169.5,48.87,119.2
5279,11.9,150.1,53.54,101.4
5280,16.6,152.2,41.05,91.2
5281,10.5,198.8,59.28,135.5
5282,21.8,196,36.51,111.1
5283,11.3,212.3,51.87,123.5
5284,15.7,191.1,43.56,119.9
5285,97.3,156.5,52.8,118.4
5286,8.5,176.5,41.1,91.4
5287,49.1,180.6,36.76,97.5
5288,41.4,154.6,49.83,92.3
5289,5,186.3,43.6,118.8
5290,27.8,183,39.58,96.8
5291,2.1,232.2,40.42,116.1
5292,18.7,170,46.34,103.9
5293,18.9,165,45.49,87.7
5294,7,185.7,44.42,106.1
5295,45.2,192,53.05,122.9
5296,30.2,162.5,44.46,99.3
5297,7.3,185,55.32,111.5
5298,41.5,179.1,46.45,113.6
5299,26.6,159.9,55.21,109.1
5300,1.9,196.8,46.2,141.1
5301,3.3,130.3,63.7,113.4
5302,4.4,196.8,62.13,138.5
5303,90.8,164.3,49.71,114.6
5304,5.8,202.6,53.85,104.5
5305,40.9,222.9,59.1,132.7
5306,1,170,48.95,122.5
5307,49.4,192.5,50.24,108.5
5308,18.9,183.3,63.37,135.3
5309,1.4,199.5,42.71,122.8
5310,23.2,153.8,52.82,105.5
5311,15,183.4,52.96,118.9
5312,11.5,165.6,41.66,104.9
5313,15.4,159.8,57.94,115.8
5314,36.7,197.5,55.29,132.6
5315,78.9,217.4,42.74,109.9
5316,25.7,175.6,50.83,127.8
5317,9.9,174.2,51.55,114.7
5318,14,197.4,51.81,126.2
5319,42,182.2,47.58,121.8
5320,26.1,185.2,59.22,132.2
5321,22.4,180.9,54.55,115.6
5322,2,180.1,55.74,123.8
5323,88.5,199.7,56.8,127.1
5324,0.4,218.6,47.83,115.2
5325,12.2,191.8,44.49,113.7
5326,17.8,169,48.92,112.3
5327,3.7,173.3,39.79,88.6
5328,62.4,162,47.5,114.1
5329,17.3,192.8,45.72,111.8
5330,14.8,171.4,59.95,115.9
5331,12.5,179.2,44.38,112
5332,15,171,43.03,108.3
5333,18.8,197,54,127.5
5334,58.2,164.9,51.72,117.5
5335,1.7,147.6,43.87,97.5
5336,47.6,192.3,53.22,96
5337,4.3,144.3,40.34,99.6
5338,71.7,162.5,64.77,122.8
5339,32.1,161.6,60.98,121.9
5340,7.1,169.4,43.81,107.6
5341,20,201.1,48.26,119.3
5342,17,177,53.67,148.8
5343,24.2,174.2,63.37,126.4
5344,52.2,170.9,53.24,110.5
5345,1.5,161.1,57.81,112
5346,63.1,214.4,52.16,122.6
5347,13.8,184.4,55.03,126.7
5348,5,182.9,47.1,120.6
5349,21.9,173.6,38.91,109.3
5350,8.3,191.8,47.35,121.2
5351,31.9,206.2,64.08,131.2
5352,12.2,159,50.99,112.5
5353,29.6,224,49.91,135.8
5354,3.2,175.8,35.15,82.4
5355,19.4,212.7,56.2,140.3
5356,16.8,169.8,49.09,104.4
5357,7.9,131.6,38.27,88.1
5358,5.1,193.5,43.34,97.9
5359,24,129.2,41.21,110.3
5360,6.4,179.2,47.15,110
5361,52.4,167.3,61,110.7
5362,19.6,147.4,52.08,110.7
5363,32.3,171.2,48.79,141.8
5364,18.8,208.9,53.78,140.5
5365,1,181.6,48.19,110.2
5366,67.7,193,50.26,112.5
5367,8.3,162,54.22,110.4
5368,50.6,198.7,58.16,123.3
5369,32.5,199,57.68,137.9
5370,12,209.3,34.86,102.8
5371,40,157.4,39.92,79.5
5372,34.9,201.1,43.02,114.9
5373,0.7,175.5,51.27,112.2
5374,0.7,157.8,53.02,116.9
5375,5.1,180.2,44.07,105.7
5376,71,181.6,45.88,108.2
5377,21.2,163.2,45.08,90.9
5378,22.9,175.9,59.46,116.5
5379,54.6,174.9,62.57,123.8
5380,10.4,198.7,53.53,141.2
5381,11.9,163.4,52.25,105.4
5382,1.3,152.2,52.65,113.9
5383,15,209.8,48.11,135.9
5384,23.2,180.7,54.13,140.8
5385,26.9,180.8,58.74,122.6
5386,27.9,181.7,53.56,123
5387,20.3,166.8,49.93,116.9
5388,8.7,176.8,47.97,117.3
5389,19.2,187.5,53.72,115.3
5390,27.4,139.6,48.91,76.9
5391,16.6,194.9,55.77,116.7
5392,9.3,205.1,42.12,109.1
5393,12.8,169.4,57.77,125.5
5394,9.4,170.7,43.01,106.7
5395,31,173.7,55.47,117.6
5396,12.6,184.5,56.12,129.8
5397,15.7,175.8,50.46,124.1
5398,1.2,183.2,46.63,98
5399,10.7,200.6,45.76,115.4
5400,49.7,168.5,39.41,87.9
5401,24.2,153.4,58.42,119.1
5402,1.5,208.2,44.46,123.8
5403,4.2,184,48.38,113.6
5404,5.9,182.2,53.75,114.8
5405,26.1,172.7,66.19,131.9
5406,13.1,184.5,48.37,100.8
5407,37.5,161.2,60.33,111.9
5408,5.1,175.2,64.11,144.3
5409,26.6,211.8,46.92,112.6
5410,6.8,155,52.17,104.9
5411,11.5,180.2,43.47,94.3
5412,8.8,161.6,45.46,112.5
5413,11.8,182.7,51.73,117.3
5414,62.1,170.4,53,111.8
5415,22.8,193.9,51.75,114.5
5416,10.2,165,60.7,122.2
5417,19.8,163,41.01,103.2
5418,0.6,176.7,42.52,123.1
5419,25.2,158.5,51.72,103
5420,5.4,155.9,53.96,125.6
5421,7.4,187.9,59.76,129.5
5422,9.4,171.2,48.21,107.3
5423,31.2,151.4,51.92,117.1
5424,85.4,146.8,47.35,96.8
5425,112.1,173.6,48.42,98.8
5426,51,139.9,38.4,69.9
5427,6.5,209.5,48.62,122.4
5428,15.1,157.8,51.88,119.7
5429,18.8,155.1,42.06,110.9
5430,30.9,166.6,52.31,120.3
5431,13.4,218.9,48.61,122.8
5432,0.6,168.3,54.3,109.9
5433,9.8,185.3,47.63,98.3
5434,55,160.6,43.14,107.6
5435,23.7,185.7,48.48,104.6
5436,24.7,194.3,57.78,125.8
5437,2.5,152.9,41.54,86.5
5438,4.3,185.5,58.57,120.3
5439,53.1,207.7,48.97,134.5
5440,4.4,161.2,51.44,114.3
5441,33,176.5,61.08,123.9
5442,1.7,189,53.42,130.9
5443,6.9,168.9,44.08,106.8
5444,41.6,183,59.1,129.7
5445,22.7,154.4,52.68,104.2
5446,34.9,168.4,41.85,99.5
5447,3.8,210.3,54.31,130.7
5448,14.1,141.6,43.23,91.5
5449,94.2,159.5,40.79,87.7
5450,48.2,219.8,52.32,119.2
5451,18.2,190.3,63.06,128.6
5452,23.1,187.2,47.79,121.8
5453,4.2,187.9,63.25,131.2
5454,23.5,207,50.31,122.8
5455,17.1,185.4,51.41,125.5
5456,12,168.1,49.79,116.8
5457,108.3,176.2,46.34,108.3
5458,17.8,160.7,48.12,119.1
5459,53.5,171.7,45.81,112
5460,43.3,158.9,57.19,103.3
5461,7.4,190.6,33.94,101
5462,4.6,191.4,46.61,99.4
5463,42.6,189.4,49.69,119.4
5464,7.1,170,51.49,124.9
5465,88.8,189.9,47.72,121.9
5466,14.7,166.6,53.82,125.8
5467,10.9,180.3,51.63,115.7
5468,23.6,172.2,52.73,115.9
5469,7,184.3,38.85,102.9
5470,7.6,173.4,58.48,115.5
5471,19.7,168,45.43,101.8
5472,18.2,216.7,58.2,130.2
5473,6.5,191.1,45.16,115.3
5474,1.6,174.4,38.27,92.2
5475,12.4,200.2,48.82,118.7
5476,7.5,209.6,44.08,104.1
5477,19.9,118.1,39.03,74.5
5478,56.7,143.8,52.26,80.9
5479,15.8,202.1,53.67,115.3
5480,31,215.5,36.27,87.6
5481,47.4,194.2,54.91,125.1
5482,14.8,174.6,44.11,109.7
5483,31.5,195.1,60.89,150.8
5484,36.7,201,51.97,113.2
5485,52.6,191.5,51.14,125
5486,19.4,158.3,44.92,87.2
5487,10.1,188,49.52,113.7
5488,4.4,179,47.89,135.1
5489,11,170.6,44.74,107
5490,69.7,203.9,46.95,120.7
5491,44.9,188.3,54.79,125.2
5492,5.6,178.3,35.2,91.3
5493,8.4,173,63.19,134
5494,21.3,171.4,58.87,124.4
5495,18.2,170.7,51.7,120.9
5496,0.3,175.4,40.09,94.5
5497,84.8,213.6,45.96,113.8
5498,30.8,211.2,53.52,117.9
5499,26.5,146,45.46,84.7
5500,0.2,200.3,44.37,117.5
5501,6.2,156.8,47.9,98.2
5502,16.9,189,42.8,109.3
5503,69.7,155.7,50.51,97.6
5504,18.9,138,51.89,108.8
5505,29.1,199.1,43.54,115.4
5506,30,169.2,43.39,99.2
5507,6.1,168.3,46.14,119.7
5508,30.2,182.9,47.87,119.6
5509,45.4,133,51.38,107.6
5510,1.7,215.7,39.77,113.1
5511,32.2,182,49.33,99.9
5512,9.8,171.9,49.17,102.5
5513,4.1,144.8,47.53,83.7
5514,4.9,175.8,56.91,118.5
5515,10.3,190.1,42.19,112.9
5516,5.5,143.6,51.61,112
5517,30.4,202.4,37.82,119.3
5518,22.6,176.5,46.75,118.6
5519,11.3,194.9,55.8,128.4
5520,45.2,199.8,49.88,112.9
5521,45.4,189.2,52.15,113.6
5522,13.5,175.8,51.04,91.8
5523,10,148.5,43.96,94.3
5524,1.5,192,59.63,139.7
5525,0.5,159.4,51.61,130.8
5526,5.5,163.9,43.72,101.7
5527,13.8,187.6,50.03,116.2
5528,15.2,171.8,43.02,104.3
5529,1.2,234.2,42.67,122.9
5530,27.4,144.7,41.87,95.1
5531,8.2,190.6,58.9,137.3
5532,2.1,156.5,54.85,114.5
5533,13.8,207.8,50.9,128.8
5534,5.2,201.5,46.49,108.8
5535,28.1,169.5,53.59,111.8
5536,18.4,199.3,53.44,125.3
5537,2.4,185.3,53.97,124.6
5538,59.4,204.6,53.98,107.5
5539,32.2,215.2,41.58,121.7
5540,8.1,174,40.98,91.4
5541,14.1,181.1,57.44,140.3
5542,24.6,171.5,50.4,102
5543,9.5,159.1,53.94,101
5544,40.4,162.5,41.31,118.1
5545,37.1,193.7,48.4,109
5546,54.9,190.9,53.59,120.6
5547,173.9,162.5,54.73,133.8
5548,72.3,189.8,47.37,118
5549,30.1,186.9,56.38,128.5
5550,21.4,205.1,50.41,129.4
5551,6.4,171.6,40.1,95.1
5552,94.7,175.4,55.54,134.4
5553,31.8,179.5,41.16,92.1
5554,61.4,145.3,55.09,101
5555,4.9,199.3,51.63,125.6
5556,7.9,210.6,53.55,127.4
5557,18.6,179.3,50.4,115.6
5558,1.9,168.8,63.16,125.1
5559,12.5,246.8,48.81,145.9
5560,10.4,189.8,35.15,100.4
5561,17,202.5,50.55,121.8
5562,1,205.6,43.55,120.2
5563,14,185.4,42.4,117.1
5564,11.1,174.7,53.12,98.5
5565,21.8,178.9,52.27,112.1
5566,2.8,196.6,36.37,98.7
5567,14.5,155.1,57.69,112.6
5568,2.9,208.1,42.18,120.3
5569,0.3,163.6,44.73,105.8
5570,6.1,159.6,54.14,124
5571,7.4,174.6,50.46,124.5
5572,10.9,187.3,51.69,106.2
5573,20.6,194.9,48.22,101.7
5574,8.1,183.4,47.16,108.1
5575,89.7,225.6,47.33,122.9
5576,6.5,181.3,51.8,120.4
5577,9.5,187.8,45.39,113.5
5578,9.2,193.2,50.4,138.6
5579,48.6,162.6,50.59,116.2
5580,8.9,171.1,43.79,103.4
5581,11.7,154.9,41.36,98.1
5582,18.4,195.2,45.64,130
5583,3.5,170.8,47.5,122.1
5584,52.3,227.7,57.21,127.3
5585,1.8,187.7,57.54,123.9
5586,23,190.1,49.1,116.9
5587,57.1,207.4,48.89,119.6
5588,12.1,168.7,51.46,122.3
5589,34.4,210.4,49.66,142.4
5590,34.2,172.7,58.54,120.3
5591,36.4,156.6,47.74,110.5
5592,6.2,187.8,46.75,111.9
5593,11.2,165.8,43.52,76.1
5594,18.6,191.4,49.31,133
5595,24.1,143.8,54.08,109.8
5596,11.6,158.4,57.14,117.6
5597,13,186.3,45.7,107
5598,0.6,155.7,49.88,79.4
5599,27.2,228,42.87,118.1
5600,21,146.7,51.2,96.9
5601,11.1,204.7,48.77,108.9
5602,32.9,153.7,48.08,97.4
5603,24.4,236.9,46.8,129.4
5604,16,140.7,53.09,125.8
5605,26.5,166.9,53.5,137.5
5606,63.9,211.5,38.71,113.3
5607,9.6,160.3,55.48,119.7
5608,56.2,165.9,53.01,109.3
5609,11.9,161.1,59.29,134.8
5610,35,187,55.55,126.4
5611,2.4,182.4,57.43,110.1
5612,19.9,175.7,45.27,101.6
5613,18.1,209.2,45.2,117
5614,4.2,187.3,54.5,115.1
5615,23,161.9,43.98,113.7
5616,12.4,171.1,46.62,111
5617,24.7,188.5,46.48,99.9
5618,11.5,159.4,69.23,126
5619,5.9,209,57.81,142.9
5620,4.5,203.7,51.24,117.6
5621,9.6,210.3,53.67,127
5622,58.2,183.3,48.67,113.9
5623,22,176.7,40.29,99.1
5624,4.4,201.9,56.18,123.1
5625,7.3,160.7,49.65,112.6
5626,76.3,182.8,34.4,89.6
5627,3.5,185.5,61.2,129.5
5628,16.7,188.8,49.63,121.2
5629,1.2,209,51.19,117.4
5630,16.5,168.7,45.6,104.8
5631,14.3,178.5,59.19,120.8
5632,26.5,184.4,55.54,114.8
5633,20.5,183.4,63.22,126
5634,2.9,199.5,53.98,138.8
5635,14.5,172.9,48.56,104
5636,7.2,202.5,56.31,124.9
5637,6.6,207.2,56.17,117.7
5638,19.3,153.6,58.64,117.8
5639,12.3,167.2,57.65,131.7
5640,38.8,237.4,48.46,122.2
5641,14.9,183,56.79,116.7
5642,13.2,172.1,52.15,105.5
5643,12.4,232.5,46.55,131.9
5644,36,180.4,64.24,134.6
5645,3.1,171.8,48.22,113.7
5646,23.5,160.1,56.14,128.6
5647,2.7,193.7,49.18,119.5
5648,27.2,165.1,53.93,127.6
5649,4.5,183.2,44.03,103.7
5650,12.2,170.2,58.36,117.6
5651,15.1,156.2,54.45,109.9
5652,39.9,185,56.74,113.8
5653,3.2,158.4,41.77,103.8
5654,9.4,188.1,43.23,122.5
5655,9.1,196,44.48,118.9
5656,27.3,194.5,46.61,121.4
5657,29.6,153.4,56.9,118
5658,2.5,182,45.14,90.4
5659,44.9,187.1,43.33,100.1
5660,2.3,194.9,44.75,89.2
5661,6.2,193,59.22,142.7
5662,17.4,226,51.19,118.4
5663,25.7,178.1,40.56,101.2
5664,20.3,193.1,59.23,138
5665,18.5,173.3,39.56,89.2
5666,17.8,155.3,48.04,96.2
5667,3.1,140.8,54.21,105.9
5668,22.2,198.1,56.04,110.6
5669,20,207.2,63.11,159.6
5670,19.2,164.7,44.25,105.4
5671,0.4,193.6,59.51,134.7
5672,3.5,186.5,44,103.9
5673,3.8,170.2,54,127.1
5674,1.4,201.7,53.04,130.9
5675,8,177.4,54.32,115.8
5676,19.2,161.1,51.59,88.5
5677,24.6,217,48.35,148.8
5678,7.6,156.9,53.95,132.2
5679,3.4,220.4,50.26,132.4
5680,20.4,203.7,51.44,146.2
5681,7.9,225.2,64.54,129.4
5682,112.5,157.9,47.11,99.8
5683,0.9,187.9,38.72,98.2
5684,52.8,160.4,58.06,125.4
5685,7,170.3,50.2,118.3
5686,6.7,175.3,48.66,108.5
5687,7,161.1,47.17,116
5688,26.3,196.5,41.21,99.3
5689,4.5,201.1,45.39,126
5690,16.2,177.3,48.3,109.6
5691,8.6,181.3,52.24,113.7
5692,3.3,178.6,46.91,114.7
5693,4.9,201.9,54.68,113.8
5694,15.8,191.7,55.95,122.9
5695,5.7,165.8,54.99,129
5696,4.5,173.8,52.31,117
5697,5.4,186.2,50.66,113
5698,25.6,177.8,58.26,135
5699,4.2,171.6,52.51,122.7
5700,55.8,195.3,50.24,123.5
5701,40,176.9,53.99,115.9
5702,35.5,202.7,54.01,123.4
5703,0.2,173.1,55.14,109.9
5704,14.5,192.1,56.38,120.3
5705,9.4,192.4,54.79,120.2
5706,1.3,172.4,47.09,120.6
5707,18.2,155.8,50.58,102.9
5708,54.4,187.2,54.96,130.6
5709,63.3,167.4,28.56,79.6
5710,68.2,175.8,54.06,119.5
5711,10.3,149.9,42.26,94.6
5712,32.3,178.9,43.73,109.6
5713,9.5,157.4,52.55,88.5
5714,10.9,190.8,49.49,134.7
5715,26.5,186.8,53.12,120.7
5716,13.9,180.5,54.14,105
5717,1.1,198.5,51.39,127.1
5718,5.3,164.4,37.49,91.3
5719,27,168.2,47.92,106
5720,71.2,181.5,50.9,109
5721,16.4,167.7,46.65,106.6
5722,7.4,150.3,59.26,106.9
5723,17.3,193.4,45.65,107.9
5724,22,186.5,40.3,102.4
5725,1.8,179.9,42.32,114.6
5726,14.9,201.2,43.55,110.4
5727,18.5,171.7,57.22,130.5
5728,5.9,205.5,41.05,123.9
5729,8,166.7,52.32,114.7
5730,50.9,168.7,60.36,124.4
5731,25.5,202.7,55.69,138.8
5732,23.7,172.9,60.95,107.7
5733,19.2,166.7,43.51,100.4
5734,47.1,210.6,54.43,118.9
5735,44.1,197.2,39.73,114.7
5736,14.8,180.3,55.27,123.3
5737,9.1,153.9,61.22,131.6
5738,3.1,204.8,55.72,126.9
5739,42.3,166.6,47.67,98.5
5740,3.2,192.3,52.5,110.7
5741,1.2,192.5,43.78,119.7
5742,27.8,223.8,48.31,132.9
5743,23.9,200.9,38.77,120.6
5744,30.8,170.9,52.35,106.3
5745,46.7,152.6,62.66,105.9
5746,1.7,182.6,49.29,111
5747,33.9,176.4,45.59,112
5748,22.2,159.7,42.66,99.3
5749,13.2,192.8,45.17,113.2
5750,4,183.9,47.68,101.1
5751,21,158.7,58.25,137.8
5752,49.8,221.1,50.11,124.3
5753,21.1,208.1,62.98,149.2
5754,31.7,155.6,44.05,93.6
5755,7.3,198.7,42.28,105.2
5756,5.8,153.3,44.58,107.8
5757,21.9,175.5,62.85,121.3
5758,12.3,199.5,51.57,124.6
5759,14.1,183.3,56.02,140.3
5760,6.2,175,43.46,117.4
5761,3.1,189.9,40.45,113
5762,32.1,183.4,40.87,111.6
5763,3.3,170,45.71,101.7
5764,1.7,160.7,52.38,103
5765,4.6,206.3,50.99,115.4
5766,38.6,153.7,48.54,117.4
5767,39.6,184.4,57.88,148.8
5768,18.5,185.9,40.88,101.6
5769,5.2,181,39.79,117.2
5770,19.6,191.4,53.1,118.4
5771,34.2,179.4,49.86,135.8
5772,2.8,174.2,56.66,121.4
5773,21,209.5,47.32,108.3
5774,13.2,182.4,56,127.1
5775,22.2,148.3,51.26,112
5776,2.8,189.9,51.23,119.3
5777,0,179.2,47.75,106.5
5778,70.3,184.2,50.49,100.1
5779,0.1,160.3,57.32,108.5
5780,5.5,195.6,58.1,115
5781,4.7,162.1,53.4,103
5782,2.1,178.3,46.05,99.6
5783,21.6,178.7,48.53,117.5
5784,25.7,162.5,47.68,115.1
5785,4.4,195.1,40.08,99.1
5786,6.3,187.7,51.41,103.5
5787,48.9,227.2,56.47,122.7
5788,16.9,168.3,51.27,108.5
5789,9.1,150.3,58.83,125
5790,19.3,185.3,58.56,116.9
5791,15.2,169.2,47.07,104.9
5792,7.5,194.1,40.25,98.2
5793,2.5,174.5,43.02,119
5794,38.3,198.7,51.53,125.8
5795,24.1,185,49.46,117.5
5796,74.2,186,43.72,115.7
5797,8.7,166,46.34,87.7
5798,0.2,155,55.16,115.2
5799,36.4,175.5,35.67,84.2
5800,18.6,167.9,53.47,113.3
5801,19.8,163.3,42.27,103.4
5802,44.2,199.5,54.24,135.5
5803,2.2,179,40.96,100
5804,21.9,175.4,66.45,129.9
5805,3.1,189,43.19,119
5806,20.8,169.8,50.02,110.2
5807,7.7,171.6,41.1,116
5808,24.5,195.1,54.62,126.9
5809,0.1,180.4,61.14,129.7
5810,25,189.8,62.38,112.7
5811,53.3,187,44.52,103.4
5812,12.1,150.6,41.21,95.3
5813,11.6,192.3,43.84,118.9
5814,54.1,169,63.22,109.1
5815,19.7,161.1,50.26,121.5
5816,8.9,168.8,49.72,119.7
5817,27.4,174.9,59.79,129.4
5818,4.5,144.9,62.68,116.5
5819,23.4,170.8,50.77,114.3
5820,24.6,169.5,49.77,123.8
5821,8.8,162,42.11,86.5
5822,13,179.4,46.18,105.1
5823,1.5,166.8,50.83,103.9
5824,31.8,200.1,50.77,128.9
5825,17.7,202,43.99,104.2
5826,26.2,184,48.12,121.3
5827,39.5,178.7,49.33,106
5828,15.4,181.3,51.43,105
5829,14.9,175.5,32.25,95.6
5830,5.9,170.8,55.58,112.8
5831,19.7,158.1,47.41,101.5
5832,53.4,170.1,44.86,108
5833,12.4,145.8,52.61,127.5
5834,35.6,199.2,54.59,132.9
5835,36.7,197.8,49.07,121.9
5836,10.7,184,48.18,129.9
5837,96.8,221.7,40.38,124.1
5838,25,210.5,48.98,125.5
5839,0.6,166.9,54.1,124.7
5840,21.1,149.9,65.47,130
5841,13.1,159.5,37.93,87.1
5842,2.8,210.3,46.4,121.4
5843,0.5,143,43.09,106.3
5844,10.7,197.2,51.38,134.2
5845,7.2,158.6,50.93,102.8
5846,8.1,186.7,54.39,132.5
