N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Crop_Type,Irrigation_Type,Fertilizer_Used,Pesticide_Used,Crop_Yield_ton_per_hectare,r
80,62,68,6.2,25.13,Loamy,0.85,16.19,61.75,1320.72,10.41,4.9,West,1836,Rabi,Sugarcane,Sprinkler,89.04,13.9,73.76,0.1336956543994362
111,65,95,5.4,57.11,Clay,1.55,37.85,57.47,1488.74,5.16,7.16,Central,812,Kharif,Sugarcane,Rainfed,342.93,15.16,75.69,0.9413343927869017
176,88,126,5.77,35.46,Clay,1.19,14.68,32.95,1438.23,9.11,2.19,North,1244,Kharif,Sugarcane,Rainfed,163.28,3.5,75.97,0.2755667763091785
57,90,77,5.35,49.36,Silt,0.63,12.43,47.27,311.68,9.84,14.39,Central,365,Zaid,Sugarcane,Canal,65.77,2.39,70.8,0.33217252206173253
163,53,58,6.11,24.26,Clay,1.2,18.53,50.19,2051.27,8.81,16.72,East,1565,Zaid,Sugarcane,Drip,160.56,22.47,74.7,0.3262205069809315
117,63,36,7.47,44.92,Silt,1.14,25.92,86.09,871.94,9.9,12.84,East,1848,Zaid,Sugarcane,Canal,308.36,14.9,74.13,0.5833072481842045
164,71,108,5.48,48.44,Loamy,0.96,34.88,32.13,2612.44,4.48,11.97,East,1500,Kharif,Sugarcane,Sprinkler,315.27,13.01,77.86,0.597808013401514
79,19,88,4.92,62.58,Clay,0.34,38.64,47.74,2042.23,6.45,14.76,West,204,Kharif,Sugarcane,Drip,166.24,23.1,75.21,0.6647392049108463
166,47,136,7.16,52.04,Clay,1.17,24.75,89.28,685.63,6.69,9.97,Central,224,Zaid,Sugarcane,Canal,268.28,21.8,75.78,0.00735304455442698
60,25,36,5.43,43.47,Clay,1.51,14.8,45.45,854.14,8.68,12.8,Central,2072,Rabi,Sugarcane,Canal,195.87,10.56,72.66,0.03840087732634456
54,18,69,7.8,64.41,Sandy,0.92,32.87,69.49,2641.74,5.59,8.21,East,1701,Rabi,Sugarcane,Drip,114.46,23.4,73.86,0.6971662542903504
70,27,43,7.09,31.69,Loamy,0.53,17.09,34.46,1852.51,9.96,14.27,Central,264,Kharif,Sugarcane,Sprinkler,276.79,9.13,75.94,0.8629596233130185
67,30,118,6.2,26.75,Sandy,0.98,20.97,76.08,2520.01,6.79,1.71,Central,306,Kharif,Sugarcane,Sprinkler,205.73,7.6,76.93,0.549717255163311
95,70,21,6.86,23.35,Sandy,1.17,12.97,62.63,943.1,5.0,4.47,South,1610,Zaid,Sugarcane,Rainfed,98.45,12.76,72.15,0.8264646094921829
175,93,102,6.07,24.78,Clay,1.35,18.62,62.57,677.17,6.54,2.4,South,1449,Kharif,Sugarcane,Sprinkler,174.98,24.62,74.01,0.2908768542315825
71,49,105,6.99,61.5,Silt,1.56,39.81,51.48,1165.34,10.2,14.3,East,1743,Zaid,Sugarcane,Sprinkler,259.43,11.43,77.31,0.9881240759546354
175,15,26,5.05,24.43,Loamy,1.26,18.86,49.49,2272.0,8.82,6.09,West,771,Kharif,Sugarcane,Canal,340.4,2.35,75.12,0.4603553731348269
163,98,46,6.61,42.05,Clay,1.41,25.59,68.59,712.85,8.98,7.93,West,1629,Kharif,Sugarcane,Canal,296.05,12.65,75.17,0.7204567414627562
50,39,146,7.25,40.53,Loamy,1.23,37.45,34.33,2076.89,4.81,11.62,West,1123,Kharif,Sugarcane,Rainfed,185.91,14.31,74.96,0.281825003295472
151,73,62,5.18,15.65,Sandy,0.76,13.54,44.31,2193.46,4.31,11.74,South,443,Zaid,Sugarcane,Canal,328.39,6.29,76.35,0.18430139695009906
60,18,112,7.15,50.62,Silt,1.06,11.65,69.69,1629.56,4.95,16.92,Central,378,Zaid,Sugarcane,Drip,130.84,24.04,74.75,0.605896815179483
161,94,72,5.97,52.01,Silt,1.36,26.08,58.04,1625.03,8.37,7.93,North,1839,Zaid,Sugarcane,Canal,73.4,20.59,75.01,0.8939335106699905
128,34,127,6.04,17.13,Clay,0.54,24.29,66.82,2432.71,10.97,16.89,South,49,Zaid,Sugarcane,Sprinkler,250.78,20.21,75.96,0.9269075621458641
81,81,85,7.42,62.87,Loamy,1.35,27.73,36.32,1051.98,6.55,8.96,South,1676,Rabi,Sugarcane,Sprinkler,135.2,15.32,76.03,0.5089590404220475
34,69,125,6.57,56.26,Loamy,0.49,13.82,34.23,1052.5,8.26,16.69,Central,2098,Kharif,Sugarcane,Rainfed,274.98,1.82,76.1,0.2786943159285258
124,69,35,6.87,15.66,Silt,1.09,19.42,78.47,2744.21,6.06,16.81,Central,2113,Zaid,Sugarcane,Drip,344.06,13.79,75.93,0.15452082999051897
37,64,71,5.3,55.79,Clay,0.7,16.29,77.07,695.93,5.26,2.48,South,1868,Rabi,Sugarcane,Canal,178.46,23.97,74.25,0.5104601313464413
96,39,21,7.37,32.75,Clay,1.56,25.53,57.45,404.06,7.92,16.07,South,1395,Zaid,Sugarcane,Canal,269.24,11.77,73.0,0.258792408364524
159,25,46,5.27,26.08,Silt,1.39,26.3,43.11,1288.18,6.46,7.85,Central,1473,Zaid,Sugarcane,Sprinkler,285.66,21.8,72.95,0.1691618938424202
128,69,70,5.8,32.85,Silt,1.24,14.41,76.11,2231.98,9.58,16.58,East,1053,Rabi,Sugarcane,Canal,216.64,11.2,75.86,0.6949701331214758
111,18,20,7.31,25.63,Loamy,0.95,34.32,78.53,577.47,8.93,17.44,West,252,Zaid,Sugarcane,Sprinkler,157.52,9.17,71.21,0.5151670283865888
98,97,112,5.51,28.93,Loamy,1.5,12.59,83.02,1588.97,4.15,16.26,Central,1480,Zaid,Sugarcane,Canal,88.29,13.68,74.72,0.7721520276158381
88,19,87,6.75,23.97,Loamy,1.18,25.37,32.3,2116.88,6.5,1.34,Central,917,Rabi,Sugarcane,Drip,332.05,0.77,76.5,0.17046251158164205
43,55,139,6.16,54.91,Silt,1.27,16.11,45.75,1695.67,5.14,9.45,Central,647,Kharif,Sugarcane,Rainfed,133.68,16.94,74.93,0.23828967055309158
36,94,100,5.12,46.15,Loamy,1.04,31.07,37.88,2232.74,4.79,11.53,West,743,Zaid,Sugarcane,Sprinkler,298.15,15.19,75.58,0.2608492459620889
112,98,114,6.01,47.4,Clay,0.32,35.94,83.42,2390.73,6.97,2.42,East,1736,Rabi,Sugarcane,Drip,318.51,22.59,77.09,0.8634315777893845
155,83,134,6.75,19.62,Loamy,1.06,31.6,75.41,1823.7,10.61,12.03,East,1421,Rabi,Sugarcane,Sprinkler,67.07,14.34,73.17,0.24399530235247224
160,75,41,6.48,49.74,Silt,1.4,32.14,41.18,753.48,10.33,11.83,West,339,Zaid,Sugarcane,Rainfed,173.12,3.91,74.29,0.3209970456408978
107,93,140,7.63,60.22,Clay,0.35,17.58,36.6,1232.19,10.51,10.13,West,811,Rabi,Sugarcane,Rainfed,321.9,14.97,76.2,0.6877692063657348
138,67,88,5.03,38.58,Silt,1.36,12.36,46.63,1835.62,6.99,13.48,West,1393,Rabi,Sugarcane,Canal,150.56,7.18,74.62,0.974904272810235
152,42,62,7.79,21.53,Clay,0.73,30.76,63.26,1359.69,10.17,15.12,South,2034,Rabi,Sugarcane,Drip,110.04,16.11,73.62,0.9833407684142266
36,44,78,5.15,33.12,Loamy,1.58,36.42,32.46,1858.04,10.09,4.41,North,210,Rabi,Sugarcane,Sprinkler,74.48,7.66,72.36,0.7159846935417241
56,72,21,5.9,61.22,Clay,0.74,36.34,78.75,1076.89,8.93,10.45,South,1449,Kharif,Sugarcane,Sprinkler,348.54,20.33,74.54,0.6073244167930659
71,28,94,7.71,58.92,Sandy,0.81,37.67,37.04,2692.95,10.62,2.12,North,266,Rabi,Sugarcane,Drip,136.48,4.25,75.04,0.21096989061995042
145,89,132,6.01,20.29,Clay,1.17,35.28,88.76,2200.03,6.99,9.02,Central,1037,Zaid,Sugarcane,Drip,61.39,8.87,74.83,0.19909341993592566
43,59,143,7.56,36.57,Silt,0.63,27.96,55.63,2724.29,10.0,5.41,South,135,Rabi,Sugarcane,Canal,111.66,17.38,74.39,0.34782234743304596
46,40,106,6.32,54.2,Clay,1.58,12.28,89.91,2118.61,4.21,1.11,Central,812,Rabi,Sugarcane,Drip,260.13,9.11,75.98,0.2897279837382146
111,23,51,5.53,51.6,Loamy,0.58,35.6,67.69,607.7,6.84,6.36,East,136,Zaid,Sugarcane,Canal,317.58,14.53,73.49,0.7040314525916569
99,83,87,6.06,19.36,Clay,0.78,17.84,67.28,1314.68,5.09,4.8,West,49,Kharif,Sugarcane,Sprinkler,337.93,24.34,76.92,0.9764565294354102
44,28,129,6.83,57.56,Silt,1.07,25.64,49.6,1076.46,7.58,15.38,West,836,Rabi,Sugarcane,Drip,155.25,12.88,73.79,0.8001375827520759
134,65,61,6.07,47.16,Sandy,1.56,27.81,66.07,483.91,4.54,10.48,East,1431,Zaid,Sugarcane,Rainfed,212.33,8.1,73.86,0.858322938878858
30,32,137,7.45,42.45,Silt,0.94,15.29,83.86,1881.13,8.33,13.01,South,1895,Kharif,Sugarcane,Drip,157.23,21.34,73.76,0.06090554323518271
63,96,60,5.35,37.68,Sandy,1.35,25.08,69.0,1746.96,5.23,4.61,South,1095,Zaid,Sugarcane,Drip,119.35,17.64,73.26,0.7015652656029423
111,47,42,7.27,41.39,Loamy,0.62,33.6,31.04,2693.24,10.32,8.74,North,1313,Zaid,Sugarcane,Sprinkler,219.09,3.71,74.03,0.30409463597128383
67,17,104,7.68,29.1,Silt,0.45,21.27,78.67,2400.37,7.57,6.41,West,159,Zaid,Sugarcane,Rainfed,207.66,4.73,74.24,0.8116270144448535
142,79,87,5.77,29.49,Silt,0.41,37.77,70.34,1903.15,9.64,10.46,East,2169,Zaid,Sugarcane,Canal,228.96,16.5,76.77,0.631722418326584
136,97,109,4.92,23.62,Silt,0.72,27.17,56.76,1472.27,4.91,12.25,East,1446,Kharif,Sugarcane,Sprinkler,274.27,16.13,75.02,0.807957328109019
51,57,43,6.4,61.07,Loamy,0.76,28.33,51.88,831.28,5.54,13.86,West,1607,Rabi,Sugarcane,Drip,151.79,12.02,73.58,0.8343247957493986
100,35,138,5.93,64.95,Silt,1.16,14.54,47.55,832.3,10.94,16.78,Central,1015,Rabi,Sugarcane,Rainfed,121.77,12.3,75.23,0.5287073198840526
111,22,44,5.51,53.85,Clay,0.85,33.83,64.57,2137.3,9.86,3.76,North,2170,Rabi,Sugarcane,Canal,308.83,1.81,76.8,0.13341633552320709
88,28,22,5.52,51.25,Clay,0.36,17.35,39.07,1526.13,4.56,11.65,East,904,Zaid,Sugarcane,Drip,287.86,9.39,74.51,0.7950115369284704
59,24,41,6.59,48.86,Silt,1.1,21.3,77.93,712.19,9.18,2.31,West,1529,Zaid,Sugarcane,Drip,172.51,0.41,74.06,0.9429827840711357
135,43,55,6.12,53.13,Loamy,0.44,38.1,89.74,2508.22,8.87,14.27,North,1700,Kharif,Sugarcane,Canal,254.56,15.41,77.25,0.27509888155912443
157,16,50,5.63,27.16,Loamy,1.3,12.81,70.27,2441.85,4.35,8.13,Central,759,Rabi,Sugarcane,Rainfed,181.47,14.88,74.53,0.6463099336573813
49,26,55,7.42,61.56,Silt,1.01,16.38,81.44,1210.6,4.77,8.81,North,1720,Rabi,Sugarcane,Sprinkler,189.1,8.63,73.15,0.6473421343730912
112,49,25,5.53,39.72,Clay,0.31,23.56,45.31,1153.75,9.74,2.34,East,898,Zaid,Sugarcane,Drip,130.81,23.41,73.9,0.03994797328609434
127,46,85,6.06,56.67,Clay,1.46,30.14,52.28,2463.49,9.48,6.29,East,537,Zaid,Sugarcane,Canal,230.84,22.33,77.12,0.6410861035821595
46,23,23,7.85,48.13,Loamy,0.53,18.11,87.62,1059.05,10.04,17.03,East,675,Zaid,Sugarcane,Canal,118.07,12.2,73.05,0.360059901930726
171,87,108,6.22,18.64,Clay,0.69,10.76,53.2,2111.05,5.74,5.27,East,1206,Kharif,Sugarcane,Sprinkler,84.8,10.86,74.91,0.3552839742369226
51,76,96,7.79,46.96,Loamy,1.52,35.83,89.6,2798.3,8.72,15.02,North,1954,Kharif,Sugarcane,Rainfed,270.54,21.72,76.95,0.662232158329593
114,88,59,5.48,51.86,Silt,1.3,35.35,78.98,2198.94,5.92,7.17,East,213,Rabi,Sugarcane,Rainfed,84.03,24.2,76.74,0.4490377603699617
45,64,68,7.3,33.49,Silt,0.62,27.55,67.23,471.01,10.73,10.73,Central,2076,Kharif,Sugarcane,Drip,268.85,7.07,73.46,0.8212594203728455
55,60,80,8.02,64.4,Loamy,0.69,32.72,73.63,1565.45,7.23,8.77,Central,822,Zaid,Sugarcane,Rainfed,135.95,22.51,72.85,0.877120467662288
137,65,80,7.83,37.7,Clay,0.98,17.31,42.41,1281.14,10.18,3.18,South,2035,Kharif,Sugarcane,Sprinkler,152.05,15.75,71.53,0.43804407590538375
108,43,123,7.68,31.65,Silt,0.35,21.03,44.74,474.57,8.33,11.89,North,496,Zaid,Sugarcane,Sprinkler,90.24,5.37,71.73,0.34239512329585964
126,74,63,8.13,31.45,Sandy,1.14,20.67,68.83,2780.55,9.43,17.43,South,135,Rabi,Sugarcane,Sprinkler,170.52,15.02,73.87,0.5807559990556591
52,29,55,7.37,26.78,Clay,0.57,26.63,45.49,2072.39,9.88,2.39,South,2022,Rabi,Sugarcane,Sprinkler,73.5,23.69,72.55,0.6752308375620375
56,41,120,7.39,32.1,Sandy,1.47,20.53,84.59,1837.87,7.64,5.01,North,333,Kharif,Sugarcane,Canal,212.87,10.16,74.16,0.12985701341788103
55,21,140,7.59,56.16,Clay,0.74,26.49,37.48,1131.7,6.41,2.87,East,697,Rabi,Sugarcane,Sprinkler,209.78,2.06,74.36,0.6761957463565392
159,86,149,8.14,49.83,Sandy,1.53,24.24,43.42,2055.0,7.23,8.5,South,1026,Rabi,Sugarcane,Sprinkler,188.6,16.61,76.81,0.5787564763599993
126,66,27,6.96,58.64,Silt,0.33,12.38,84.12,1986.08,7.8,10.33,North,68,Rabi,Sugarcane,Rainfed,146.6,11.48,75.4,0.1665035470495151
100,28,30,6.09,60.26,Loamy,0.55,15.59,49.14,1416.2,6.32,1.22,South,733,Zaid,Sugarcane,Drip,150.65,14.32,74.24,0.7122202051771587
60,43,61,5.05,31.7,Silt,0.46,26.26,79.77,2415.4,10.04,1.39,East,645,Rabi,Sugarcane,Sprinkler,107.24,11.06,74.0,0.9148349499968781
72,65,111,6.69,24.13,Clay,0.93,18.05,54.03,935.42,6.32,16.08,South,1009,Kharif,Sugarcane,Rainfed,183.76,21.47,72.93,0.14424002111810352
43,97,149,7.24,42.46,Loamy,0.72,37.09,43.08,1124.07,7.63,6.52,East,644,Zaid,Sugarcane,Sprinkler,320.17,4.54,75.87,0.6459278930230393
39,15,126,5.08,49.6,Loamy,0.49,21.92,34.24,1646.68,7.9,15.14,West,1012,Kharif,Sugarcane,Canal,262.83,21.87,75.98,0.6834294151572705
93,37,103,8.07,57.71,Sandy,0.99,12.55,64.35,2148.66,4.29,4.1,East,88,Kharif,Sugarcane,Canal,339.36,1.2,77.54,0.10347506364658465
159,99,143,6.06,59.99,Sandy,0.34,15.06,37.96,1748.3,10.01,9.68,South,545,Rabi,Sugarcane,Canal,276.48,20.08,78.59,0.6565627023996523
139,73,41,6.0,23.32,Loamy,0.41,27.79,39.87,2475.95,10.02,3.07,North,1177,Rabi,Sugarcane,Drip,167.66,0.77,75.38,0.7955783762575864
174,48,38,7.29,55.23,Sandy,0.32,36.85,37.58,1810.26,10.08,11.88,East,1513,Kharif,Sugarcane,Canal,99.83,8.99,76.38,0.6434289495173308
166,91,79,6.23,19.79,Loamy,1.16,14.96,69.31,2118.19,9.27,10.83,West,2164,Zaid,Sugarcane,Drip,82.49,7.44,75.99,0.3540645623550941
79,41,63,6.76,47.2,Clay,1.12,14.79,36.17,2481.25,6.05,8.92,South,948,Zaid,Sugarcane,Canal,309.96,19.8,77.44,0.6287340150599929
114,72,24,5.57,62.2,Loamy,1.11,35.28,35.09,977.12,8.44,16.74,South,1634,Rabi,Sugarcane,Rainfed,246.79,1.65,75.72,0.4555667819901088
47,68,92,5.83,16.96,Sandy,1.23,24.04,54.25,1246.76,6.45,6.96,South,1365,Rabi,Sugarcane,Drip,138.16,24.25,73.06,0.6917776391419823
76,60,94,6.9,27.84,Sandy,1.44,27.99,35.52,2543.21,10.11,13.4,South,1672,Zaid,Sugarcane,Sprinkler,332.49,20.8,78.79,0.43776505498812845
108,20,149,8.07,26.76,Clay,0.41,37.58,30.57,1301.61,4.74,4.93,Central,892,Zaid,Sugarcane,Drip,212.75,4.53,73.64,0.9407508592344611
44,24,85,5.72,48.87,Clay,1.42,33.54,74.64,2142.43,11.0,9.55,Central,685,Kharif,Sugarcane,Rainfed,92.0,5.43,74.34,0.17478128487493383
46,64,91,7.69,26.8,Sandy,1.0,13.91,75.57,1341.11,4.18,17.71,Central,785,Zaid,Sugarcane,Drip,87.71,23.07,72.2,0.25715235110909584
128,58,140,6.76,49.92,Loamy,0.95,26.0,32.8,2486.13,6.68,13.71,East,148,Kharif,Sugarcane,Rainfed,329.65,21.9,77.95,0.23503129881191864
81,97,54,5.86,58.03,Loamy,1.02,32.65,30.08,1853.3,9.49,3.38,West,2112,Rabi,Sugarcane,Drip,331.02,19.07,77.1,0.6522811128184463
121,29,56,7.19,22.59,Loamy,1.51,34.61,46.75,1728.38,6.31,5.67,South,542,Kharif,Sugarcane,Rainfed,230.29,18.42,73.6,0.9774381842040123
78,95,50,8.05,28.93,Silt,0.68,33.27,50.86,2113.78,7.42,5.18,South,298,Kharif,Sugarcane,Sprinkler,190.52,20.98,74.3,0.12037814950553383
52,45,118,7.28,15.71,Silt,0.54,14.9,38.8,1643.17,9.54,14.1,East,1736,Zaid,Sugarcane,Sprinkler,208.4,15.45,73.87,0.5347994662811925
153,87,82,8.13,28.14,Silt,0.75,27.91,38.15,2631.79,6.08,12.37,West,1559,Kharif,Sugarcane,Drip,126.63,22.85,75.48,0.8160567571143236
95,90,143,5.11,52.89,Silt,0.64,32.1,66.8,987.14,6.25,9.84,North,119,Rabi,Sugarcane,Sprinkler,255.28,10.66,75.02,0.4173829418004733
47,87,34,6.12,24.9,Clay,1.04,21.48,32.66,1994.53,8.05,13.24,South,147,Kharif,Sugarcane,Drip,203.84,9.77,74.84,0.5060446924118366
164,64,144,7.3,56.29,Loamy,0.97,24.37,69.73,1225.11,7.61,4.26,Central,375,Rabi,Sugarcane,Rainfed,306.81,3.9,75.98,0.4226866196574257
40,17,111,6.96,33.69,Loamy,0.63,37.11,51.98,2314.61,4.5,6.01,South,1510,Kharif,Sugarcane,Canal,235.21,11.92,76.23,0.44269370196743585
52,51,144,7.65,64.6,Clay,0.73,17.96,59.36,2666.93,9.06,11.71,West,1716,Rabi,Sugarcane,Canal,176.43,2.56,75.53,0.21076309942990623
38,92,91,6.72,39.74,Silt,0.52,32.77,80.15,585.99,9.85,8.1,North,2150,Zaid,Sugarcane,Sprinkler,349.26,17.09,74.58,0.628030464569537
160,88,22,5.17,26.99,Clay,1.34,16.03,62.32,2506.47,6.82,8.66,West,1241,Kharif,Sugarcane,Drip,300.35,1.96,75.83,0.4156277820291552
154,90,23,4.82,20.63,Silt,0.87,29.72,55.14,2325.9,4.7,13.92,West,352,Zaid,Sugarcane,Canal,69.27,0.5,72.12,0.48018351526188785
137,52,35,5.95,38.24,Silt,1.26,12.53,30.47,379.32,5.2,11.94,South,2082,Rabi,Sugarcane,Canal,128.92,2.48,73.28,0.4923670487012489
148,20,146,6.61,33.32,Silt,0.38,24.56,80.58,367.04,7.74,15.82,North,1485,Kharif,Sugarcane,Rainfed,322.38,14.71,73.91,0.19231577278435052
33,58,39,7.33,33.34,Clay,0.36,15.37,61.84,2523.2,5.5,11.73,West,2093,Zaid,Sugarcane,Canal,135.14,19.42,73.19,0.37582121900794097
156,58,26,6.87,48.11,Clay,0.74,10.15,67.42,2580.85,4.32,7.12,South,817,Kharif,Sugarcane,Drip,135.27,15.51,75.85,0.17478498788336594
31,71,20,7.03,40.66,Clay,1.35,19.0,33.73,837.11,6.35,5.82,Central,285,Rabi,Sugarcane,Canal,77.78,2.3,72.84,0.7175613826485358
43,22,44,5.65,56.91,Clay,0.53,37.07,81.45,1263.2,6.74,9.19,East,45,Kharif,Sugarcane,Sprinkler,257.96,5.17,75.36,0.7326126992403987
49,21,121,6.07,24.66,Silt,0.65,27.26,32.47,2075.57,8.48,17.22,Central,438,Zaid,Sugarcane,Sprinkler,211.36,17.43,76.56,0.2812845635530341
148,51,148,5.37,62.43,Sandy,1.05,13.88,86.98,310.3,7.09,6.42,North,1012,Kharif,Sugarcane,Rainfed,180.87,5.17,73.38,0.8254398957486287
151,32,87,7.36,32.77,Sandy,1.39,38.43,75.48,1023.98,7.57,1.78,West,226,Kharif,Sugarcane,Rainfed,321.03,12.25,74.91,0.14660830036000316
163,34,49,5.6,15.5,Loamy,1.53,22.4,83.92,481.59,5.06,3.12,North,1260,Rabi,Sugarcane,Canal,250.27,1.31,73.41,0.15966634936715074
67,77,38,6.41,21.22,Clay,1.27,30.7,74.65,1083.85,10.89,3.49,South,237,Zaid,Sugarcane,Sprinkler,69.42,4.55,73.37,0.04486055762771701
178,15,148,7.75,40.66,Silt,0.3,17.82,76.35,2317.7,10.92,17.59,West,1904,Zaid,Sugarcane,Sprinkler,107.45,1.0,75.45,0.7697314182968802
99,36,67,5.88,19.44,Silt,0.96,23.29,70.14,2148.0,9.21,12.51,North,358,Zaid,Sugarcane,Sprinkler,68.94,23.51,74.72,0.8109351926726106
71,45,81,5.96,15.39,Sandy,1.52,36.37,67.58,548.47,4.02,17.64,West,259,Rabi,Sugarcane,Drip,275.59,15.82,73.88,0.8255348415204157
56,48,85,4.86,30.29,Silt,1.35,31.7,50.66,1997.14,10.29,2.66,North,1286,Zaid,Sugarcane,Drip,291.23,10.93,76.05,0.7913107143126669
61,68,83,5.42,58.59,Sandy,0.59,10.81,60.02,2227.46,7.29,11.98,South,653,Zaid,Sugarcane,Sprinkler,243.33,23.18,77.77,0.8501327346850368
62,66,145,7.25,44.42,Sandy,1.07,23.9,68.82,824.4,5.27,6.27,West,469,Zaid,Sugarcane,Drip,290.51,8.9,74.75,0.04458809273414399
31,49,26,7.12,18.25,Silt,1.1,29.51,41.53,809.7,9.45,17.91,West,832,Rabi,Sugarcane,Canal,131.92,9.62,70.78,0.14306195272340239
143,47,103,7.96,30.6,Loamy,1.41,22.92,51.38,1309.47,9.26,5.1,North,864,Zaid,Sugarcane,Sprinkler,296.2,24.16,75.24,0.6659471660804642
82,50,43,5.67,39.57,Sandy,0.45,18.46,56.46,2164.11,4.03,15.07,North,939,Rabi,Sugarcane,Canal,242.61,20.3,75.1,0.6844353610693075
48,36,63,5.47,29.28,Sandy,0.5,23.84,43.51,1494.23,8.36,3.85,West,1548,Kharif,Sugarcane,Rainfed,221.63,12.02,73.7,0.5183654633353206
32,62,22,6.65,32.35,Loamy,0.51,13.58,84.89,2503.21,4.26,1.75,East,109,Rabi,Sugarcane,Sprinkler,158.42,5.93,74.37,0.8561536219946603
119,77,72,7.66,46.65,Loamy,0.65,39.38,72.2,1284.96,8.8,15.95,North,1764,Zaid,Sugarcane,Sprinkler,83.05,21.01,71.72,0.099237664919681
133,34,119,6.27,57.61,Silt,0.56,34.36,67.51,2188.77,5.0,13.96,Central,713,Rabi,Sugarcane,Canal,260.9,10.88,75.52,0.09072088274783086
103,23,124,6.66,27.49,Loamy,1.22,33.62,70.27,2267.27,4.27,17.75,Central,111,Kharif,Sugarcane,Drip,330.29,3.7,75.61,0.427541855359712
106,31,60,8.11,30.36,Sandy,1.59,23.96,82.67,1045.25,6.56,10.92,North,1739,Rabi,Sugarcane,Sprinkler,209.2,6.55,74.61,0.7003478888665695
172,32,88,8.2,24.54,Silt,1.33,34.46,56.63,557.83,5.27,8.09,East,1722,Rabi,Sugarcane,Canal,341.79,15.51,72.97,0.10579652027279896
69,89,104,7.18,15.23,Clay,1.56,34.48,36.46,2744.44,6.63,11.01,Central,1584,Kharif,Sugarcane,Drip,321.67,22.55,77.66,0.51351786674177
94,44,46,7.37,38.2,Clay,0.96,12.76,46.24,2375.18,6.54,2.28,Central,574,Zaid,Sugarcane,Drip,180.43,10.05,74.58,0.8482031285528955
161,22,106,7.04,37.49,Clay,1.27,13.49,49.96,1144.44,7.2,5.08,North,52,Zaid,Sugarcane,Rainfed,106.95,2.35,74.81,0.49298271045808906
133,56,90,6.14,40.59,Clay,0.58,19.73,69.84,1834.6,4.81,17.17,North,401,Rabi,Sugarcane,Sprinkler,338.79,24.31,75.24,0.572772509737109
57,50,108,6.05,17.27,Silt,0.8,38.33,72.68,2164.72,4.35,10.71,East,1804,Rabi,Sugarcane,Rainfed,99.08,22.33,73.18,0.035159250271194153
85,35,79,6.48,53.75,Loamy,0.4,15.65,38.07,1153.71,8.78,16.59,East,2055,Kharif,Sugarcane,Drip,337.51,8.67,74.33,0.32314521727941725
87,35,32,7.25,40.95,Sandy,1.02,34.94,45.63,2668.32,8.76,9.7,South,1115,Zaid,Sugarcane,Sprinkler,188.14,21.06,74.2,0.24346704406676012
97,20,119,5.22,46.22,Sandy,0.68,32.0,38.07,1829.38,5.77,13.54,North,621,Kharif,Sugarcane,Sprinkler,159.07,15.75,70.96,0.7092961271407681
85,42,25,5.82,42.55,Silt,0.32,14.11,63.77,1656.59,5.96,10.75,West,183,Zaid,Sugarcane,Drip,118.09,24.67,73.59,0.7758650652027869
134,22,41,5.04,42.73,Silt,0.33,25.73,37.05,732.96,5.67,16.07,South,995,Kharif,Sugarcane,Rainfed,259.79,2.91,74.18,0.3387329557744314
33,86,69,5.14,55.12,Sandy,0.66,30.69,36.29,2537.1,9.9,5.41,South,1154,Zaid,Sugarcane,Rainfed,316.72,4.44,76.04,0.12663712551837436
175,21,85,6.72,64.12,Silt,0.89,21.19,76.55,2732.28,4.03,11.02,South,370,Kharif,Sugarcane,Canal,295.94,2.66,76.45,0.4930301251588023
54,29,39,5.83,30.69,Clay,1.59,29.11,61.4,1399.38,9.92,6.45,West,1525,Rabi,Sugarcane,Drip,213.78,0.49,74.76,0.9437663822120144
127,92,140,5.06,30.49,Silt,1.49,37.58,58.12,1455.92,10.39,3.83,West,1548,Rabi,Sugarcane,Canal,88.94,17.9,74.29,0.9764896611478872
175,68,125,5.24,17.55,Clay,0.97,29.93,57.03,979.55,7.15,7.42,South,1670,Rabi,Sugarcane,Drip,166.54,5.7,72.94,0.7023987210805986
92,20,81,8.14,28.77,Loamy,0.54,35.03,82.71,2642.07,4.47,14.81,Central,563,Rabi,Sugarcane,Sprinkler,86.34,13.59,74.72,0.6589018065748572
134,37,86,4.97,59.61,Clay,0.38,11.72,46.68,2132.56,7.91,3.04,West,317,Rabi,Sugarcane,Rainfed,337.5,20.7,77.64,0.2650472874092833
127,70,74,6.41,22.27,Sandy,1.16,22.2,38.77,979.23,9.57,2.16,Central,580,Kharif,Sugarcane,Sprinkler,186.29,20.39,74.39,0.5097260752881797
30,16,128,4.8,50.48,Silt,1.21,37.11,88.71,1922.81,7.73,9.24,East,1577,Kharif,Sugarcane,Canal,73.11,5.76,73.26,0.30006708290543993
88,93,81,5.58,52.53,Silt,1.53,36.76,56.16,1640.28,8.15,9.52,South,729,Rabi,Sugarcane,Canal,123.62,18.89,75.2,0.6374024812092216
97,63,50,5.85,19.25,Silt,1.1,23.38,53.55,2700.44,9.93,14.49,North,154,Kharif,Sugarcane,Rainfed,220.41,16.36,74.52,0.8018258998755151
85,24,81,5.37,63.52,Loamy,1.35,10.49,86.72,2762.37,4.46,14.53,South,1133,Rabi,Sugarcane,Drip,140.49,3.36,76.77,0.15478603484611198
